"CNPJ/CPF do Sancionado";"Nome";"UF do sancionado";"Tipo da Sanção";"Data Inicial da Sanção";"Data Final da Sanção";"Nome do Órgão Sancionador";"Valor da Multa";
"09.580.535/0001-53";"rblm engenharia ltda - epp";"BA";"Multa - Lei 12.846/13";"19/04/2019";"Sem informação";"Petróleo Brasileiro S.A.";"1.000.282,50";
"05.954.865/0001-00";"real bramar comercio e sevicos ltda-me";"RJ";"Multa - Lei 12.846/13";"22/01/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"2.958,00";
"13.288.025/0001-84";"rede seg grafica e editora ltda";"SP";"Publicação Extraordinária - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"0,00";
"13.288.025/0001-84";"rede seg grafica e editora ltda";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"651.712,62";
"04.355.831/0001-37";"restaurante ponto do criador ltda - me";"ES";"Publicação Extraordinária - Lei 12.846/13";"11/10/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"0,00";
"04.355.831/0001-37";"restaurante ponto do criador ltda - me";"ES";"Multa - Lei 12.846/13";"11/10/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"147.900,30";
"45.992.005/0001-86";"reynold's producoes eireli - me";"SP";"Publicação Extraordinária - Lei 12.846/13";"12/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"45.992.005/0001-86";"reynold's producoes eireli - me";"SP";"Multa - Lei 12.846/13";"12/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"6.000,00";
"08.350.394/0001-10";"rgb midia & grafica eireli";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"42.219,18";
"08.350.394/0001-10";"rgb midia & grafica eireli";"SP";"Publicação Extraordinária - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"0,00";
